title,year,link,price,monthly_payment,down_payment_pct,city,date,views,is_verified_seller,is_from_dealer,is_official_dealer,down_payment,mean_price,offer_price,generation,bodywork,engine_volume,mileage,transmission,drive,wheel,color,customs_clearance_in_kz,city_filter,price_numeric
Mercedes-Maybach S 580 4MATIC,2021,https://kolesa.kz/a/show/198284718?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=346,140 545 000₸,,,Алматы,30 апреля,5234,TRUE,FALSE,FALSE,,,140 545 000 ₸,2021 - н.в. Z223,Седан,4 (бензин),,Автомат,Полный привод,Слева,черный,Да,all,140545000
Porsche Cayenne V6,2023,https://kolesa.kz/a/show/214415325?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=347,88 320 000₸,,,Алматы,30 апреля,2160,FALSE,FALSE,TRUE,,,88 320 000 ₸,2023 - н.в. 3 поколение рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,серый металлик,Да,all,88320000
Mercedes-Benz GLE 450 4MATIC+,2019,https://kolesa.kz/a/show/209252314?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=348,60 000 000₸,,,Алматы,30 апреля,267,TRUE,FALSE,FALSE,,,60 000 000 ₸,2019 - н.в. V167,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,белый,Да,all,60000000
Mercedes-Benz G 63 AMG,2018,https://kolesa.kz/a/show/218069378?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=349,113 500 000₸,,,Алматы,30 апреля,752,FALSE,FALSE,FALSE,,,113 500 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),4 км,Автомат,Полный привод,Слева,черный,Нет,all,113500000
Lexus LX 700h Luxury+,2021,https://kolesa.kz/a/show/215318629?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=350,106 200 000₸,,,Алматы,30 апреля,5947,TRUE,FALSE,FALSE,,,106 200 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.4 (бензин),,Автомат,Полный привод,Слева,черный,Нет,all,106200000
Dodge RAM,2018,https://kolesa.kz/a/show/213093311?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=351,93 999 000₸,,,Алматы,30 апреля,8646,TRUE,FALSE,FALSE,,,93 999 000 ₸,2018 - н.в. 5 поколение,Пикап,6.2 (бензин),,Автомат,Полный привод,Слева,оранжевый металлик,Да,all,93999000
Lexus LX 600,2021,https://kolesa.kz/a/show/217733690?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=352,85 000 000₸,,,Алматы,30 апреля,616,FALSE,FALSE,FALSE,,86 302 000 ₸,85 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),8 500 км,Автомат,Полный привод,Слева,,Да,all,85000000
Genesis G90,2021,https://kolesa.kz/a/show/206975249?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=353,90 905 500₸,,,Астана,30 апреля,7449,FALSE,FALSE,TRUE,,,90 905 500 ₸,2021 - н.в. 2 поколение,Седан,3.5 (бензин),,Автомат,Полный привод,Слева,черный,Да,all,90905500
Mercedes-Benz GLE Coupe 450 AMG 4MATIC,2019,https://kolesa.kz/a/show/209665846?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=354,69 000 000₸,,,Костанай,30 апреля,1013,FALSE,FALSE,TRUE,,,69 000 000 ₸,2019 - н.в. C293,Кроссовер,3 (бензин),26 км,Автомат,Полный привод,Слева,белый,Да,all,69000000
Mercedes-Benz GLE 450 4MATIC,2019,https://kolesa.kz/a/show/208803945?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=355,70 000 000₸,,,Шымкент,30 апреля,510,FALSE,FALSE,TRUE,,,70 000 000 ₸,2019 - н.в. V167,Кроссовер,3 (бензин),26 км,Автомат,Полный привод,Слева,белый,Да,all,70000000
Mercedes-Benz GLE Coupe 450 AMG 4MATIC,2019,https://kolesa.kz/a/show/215065858?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=356,66 200 000₸,,,Алматы,30 апреля,1873,FALSE,FALSE,TRUE,,,66 200 000 ₸,2019 - н.в. C293,Кроссовер,3 (бензин),26 км,Автомат,Полный привод,Слева,серый металлик,Да,all,66200000
Land Rover Range Rover Sport Dynamic SE,2022,https://kolesa.kz/a/show/218041773?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=357,104 171 000₸,,,Алматы,30 апреля,237,TRUE,FALSE,FALSE,,,104 171 000 ₸,2022 - н.в. 3 поколение,Внедорожник,3 (бензин),20 км,Автомат,Полный привод,Слева,черный металлик,Да,all,104171000
Cadillac Escalade,2024,https://kolesa.kz/a/show/212579606?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=358,85 000 000₸,,,Алматы,30 апреля,3482,TRUE,FALSE,FALSE,,100 000 000 ₸,85 000 000 ₸,2024 - н.в. 5 поколение рестайлинг,Внедорожник,6.2 (бензин),,Автомат,Полный привод,Слева,,Да,all,85000000
Porsche Panamera GTS,2023,https://kolesa.kz/a/show/216264527?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=359,129 000 000₸,,,Алматы,30 апреля,1141,TRUE,FALSE,FALSE,,,129 000 000 ₸,2023 - н.в. 972,Лифтбек,4 (бензин),,Робот,Полный привод,Слева,,Да,all,129000000
Toyota Land Cruiser Prestige,2021,https://kolesa.kz/a/show/213527208?search_id=ad7836ac19a270cc2a9286f3ac23f625db7ab519&search_type=filter&advert_position=360,62 120 500₸,,,Алматы,30 апреля,3816,FALSE,FALSE,TRUE,,67 236 000 ₸,62 120 500 ₸,2021 - н.в. J300,Внедорожник,3.5 (бензин),1 км,Автомат,Полный привод,Слева,,Да,all,62120500
